epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44652,1.52656,3.04776,1.35106,0.00726,0.64516,0.18986,0.12378,0.92949,2.90344,0.92658,4e-05,4e-05,4e-05
2,6.62726,1.2927,2.90228,1.25172,0.00732,0.64516,0.26528,0.1838,0.98987,2.88931,0.92995,7.525e-05,7.525e-05,7.525e-05
3,9.55317,1.2496,2.6831,1.21152,0.0078,0.67742,0.27435,0.20775,1.04084,2.89059,0.9425,8.08e-05,8.08e-05,8.08e-05
4,12.878,1.42064,2.61377,1.26408,0.00784,0.67742,0.29593,0.22291,1.07162,2.87101,0.95437,5.665e-05,5.665e-05,5.665e-05
