epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1842,1.52656,3.04776,1.35106,0.00726,0.64516,0.18986,0.12378,0.92949,2.90344,0.92658,4e-05,4e-05,4e-05
2,6.19794,1.29567,2.90794,1.25361,0.00731,0.64516,0.26231,0.18008,0.97772,2.88784,0.92667,6.7e-05,6.7e-05,6.7e-05
3,9.2224,1.24615,2.71536,1.21527,0.00742,0.64516,0.27882,0.20568,1.007,2.88696,0.93404,5.44e-05,5.44e-05,5.44e-05
