epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18087,1.39548,2.97222,1.26573,0.00767,0.74194,0.21402,0.18303,0.92098,2.93903,0.98622,4e-05,4e-05,4e-05
2,10.1708,1.20855,2.79467,1.22091,0.008,0.77419,0.26849,0.23344,0.92049,2.92081,0.99504,6.7e-05,6.7e-05,6.7e-05
3,15.155,1.1927,2.60306,1.17421,0.00833,0.80645,0.29026,0.24695,0.9104,2.88789,0.99726,5.44e-05,5.44e-05,5.44e-05
