epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97856,1.5267,3.13506,1.31787,0.00732,0.64516,0.19146,0.12312,0.89851,2.88564,0.91952,4e-05,4e-05,4e-05
2,6.03376,1.40641,2.91616,1.35487,0.00779,0.67742,0.23995,0.16282,0.90564,2.86435,0.9113,5.05e-05,5.05e-05,5.05e-05
