epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18471,1.39548,2.97222,1.26573,0.00767,0.74194,0.21402,0.18303,0.92098,2.93903,0.98622,4e-05,4e-05,4e-05
2,10.065,1.21154,2.78569,1.22022,0.008,0.77419,0.27472,0.23683,0.92474,2.92608,0.99353,8.02e-05,8.02e-05,8.02e-05
3,15.1113,1.19773,2.53843,1.17453,0.00833,0.80645,0.29726,0.24747,0.91112,2.88733,1.00409,9.664e-05,9.664e-05,9.664e-05
4,20.0464,1.30805,2.36521,1.2278,0.008,0.77419,0.31238,0.26441,0.96012,2.84257,1.03358,8.932e-05,8.932e-05,8.932e-05
5,25.0551,1.3117,2.23576,1.21882,0.008,0.77419,0.33173,0.27975,0.98113,2.80755,1.0413,5.824e-05,5.824e-05,5.824e-05
