epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18574,1.52656,3.04776,1.35106,0.00726,0.64516,0.18986,0.12378,0.92949,2.90344,0.92658,4e-05,4e-05,4e-05
2,6.17564,1.29152,2.89863,1.2508,0.00732,0.64516,0.26889,0.18487,0.99141,2.88822,0.92812,8.02e-05,8.02e-05,8.02e-05
3,9.24443,1.25572,2.65508,1.21128,0.00786,0.67742,0.27166,0.20433,1.04918,2.89616,0.94694,9.664e-05,9.664e-05,9.664e-05
4,12.3415,1.41905,2.56,1.25909,0.00792,0.67742,0.29106,0.22088,1.11144,2.88079,0.96801,8.932e-05,8.932e-05,8.932e-05
5,15.3843,1.37015,2.38584,1.2292,0.00797,0.67742,0.29173,0.22482,1.11871,2.84774,0.97498,5.824e-05,5.824e-05,5.824e-05
