epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16942,1.37632,3.04472,1.24623,0.00767,0.74194,0.19131,0.16446,0.90762,2.93767,0.97795,4e-05,4e-05,4e-05
2,10.519,1.31433,2.81699,1.27932,0.008,0.77419,0.27462,0.23523,0.90562,2.91231,0.98062,7.525e-05,7.525e-05,7.525e-05
3,15.9286,1.41525,2.72751,1.28148,0.008,0.77419,0.2914,0.24954,0.92692,2.88083,0.98483,8.08e-05,8.08e-05,8.08e-05
4,21.1724,1.1488,2.35118,1.18263,0.008,0.77419,0.31361,0.27027,0.91892,2.86081,0.98751,5.665e-05,5.665e-05,5.665e-05
